sample,Bulk modulus,Domain size,Stacking number,1/d,1/t,Edge site amount,Sbasal,Pore size,Surface tortuosity,Sƒ¿,H2,CO,CO2,H2O,H/O,Total H,Total O,H_ratio in edgesite,Peak top temp_H2,Peak top intensity_H2,FWHM_H2,Start temp_H2,End temp_H2,Asymmetry_H2,Peak top temp_CO,Peak top intensity_CO,FWHM_CO,Start temp_CO,End temp_CO,Asymmetry_CO,Peak top temp_CO2,Peak top intensity_CO2,FWHM_CO2,Start temp_CO2,End temp_CO2,Asymmetry_CO2,Peak top temp_H2O,Peak top intensity_H2O,FWHM_H2O,Start temp_H2O,End temp_H2O,Asymmetry_H2O
SWCNT,1.38,64.8,1,0.285714286,1,633,1144,3.5,1,1176,245.4497666,105.7816554,21.4032602,7.616998146,3.240184156,506.1335296,148.5881758,0.775512691,1008,0.121312111,270,915,1185,-84,201,0.047975766,187,136,323,-57,215,0.007600598,316,140,456,-166,198,0.095520716,164,138,302,-44
Y-PFA-Pr7(2)-H9(3),0.382,3.3,1,0.769230769,1,12534,2719,1.3,1,3345,4781.171674,1599.43867,189.2648064,537.5691818,4.228711303,10637.48171,1977.968283,0.762912346,957,0.398709593,290,838,1128,-52,687,0.094751938,363,537,900,-63,348,0.014482761,358,281,639,-224,688,0.028908974,593,300,893,183
Y-Ac6(4)-H9(3),0.444,2.2,1.5,0.769230769,1,18645,1783,1.3,1,2715,7907.566309,1502.567104,230.3497915,548.6270248,6.732922888,16912.38667,1963.266687,0.848223793,891,4.341765859,282,778,1060,-56,644,0.61429406,382,471,853,-36,413,0.098870512,393,281,674,-129,708,0.23913986,463,364,827,225
X-Ac6(4)-H8.5(3),0.177,1.7,1.6,0.769230769,1,23575,1657,1.3,1,2835,9862.993244,2070.9237,326.6938942,725.7829338,6.138252975,21177.55235,2724.311489,0.836733255,918,5.703169599,242,820,1062,-46,709,0.939337311,331,544,875,-1,479,0.123627335,428,318,746,-106,736,0.262206098,469,402,871,199
TM100-CMS,0.006,12.6,1.3,0.125,0.322580645,3261,2050,8,3.1,2213,1067.916914,580.9045172,100.8202162,221.571075,2.568404362,2578.975977,782.5449495,0.654962842,1069,0.45998575,298,945,1243,-50,895,0.13990603,533,542,1075,173,373,0.034133921,424,224,648,-126,365,0.090730683,568,185,753,-208
TM300-CMS,0.082,7.9,1.6,0.2,0.5,5212,1594,5,2,1855,1739.538671,967.4419299,104.6871752,545.84853,2.653316174,4570.774403,1176.81628,0.667512921,1194,0.630384629,404,1018,1422,-52,986,0.261141421,823,409,1232,331,424,0.042662994,321,259,580,9,437,0.208306475,363,248,611,15
SBa-200-CMS,0.092,10.9,1.5,0.158730159,0.625,3780,1697,6.3,1.6,1886,1493.994692,418.3165746,61.15657831,156.0776296,4.73677304,3300.144643,540.6297312,0.790473382,1180,0.571296341,360,1023,1383,-46,1187,0.099900215,588,734,1322,318,302,0.017658933,398,215,613,-224,120,0.140568168,295,65,360,-185
SBa200-CMS_T600_P30,0.135,9.8,1.8,0.434782609,0.625,4170,1471,2.3,1.6,1679,1553.593632,548.6723509,107.3062445,203.5557788,3.634827451,3514.298822,763.2848398,0.74512884,1142,0.539218801,436,936,1372,-24,778,0.177127769,437,606,1043,-93,372,0.026276004,671,163,834,-253,1746,0.049219654,215,1586,1801,105
TM-100-GMS,0.02,313,1.4,0.135135135,0.277777778,131,1900,7.4,3.6,1906,19.24092522,37.89357898,8.056813292,23.31128417,1.100699446,85.1044188,54.00720557,0.293754584,1208,0.00880559,366,1053,1419,-56,642,0.01481973,390,492,882,-90,362,0.004441807,419,190,609,-75,251,0.017321024,353,163,516,-177
TM-300-HT1600-GMS,0.409,176.4,1.4,0.175438596,0.666666667,232,1880,5.7,1.5,1892,47.87196,59.20113118,21.81319851,27.8536136,1.158936516,151.4511472,102.8275282,0.41268931,1763,0.032350545,109,1707,1816,3,651,0.023266896,361,493,854,-45,1752,0.009677674,261,1545,1806,153,1744,0.011633539,400,1399,1799,290
TM-300-HT1800-GMS,0.631,309.4,1.4,0.175438596,0.666666667,133,1856,5.7,1.5,1863,39.575823,31.27879697,10.11276068,6.002022,1.58514156,91.15569,51.50431832,0.595125158,1205,0.009554244,401,1028,1429,-47,109,0.010330214,101,64,165,-11,297,0.002879787,568,70,638,-114,127,0.006409534,289,71,360,-177
SBa-200-GMS,0.368,276.4,1.2,0.158730159,0.625,148,2186,6.3,1.6,2194,24.2927535,21.38265791,15.42900149,31.49952113,1.332509037,111.5845493,52.24066088,0.328280453,199,0.052665962,133,144,277,-23,180,0.037322098,116,129,245,-14,177,0.007805922,146,126,272,-44,182,0.021258175,192,129,321,-86
MgO-GMS,0.06,421.2,1.4,0.084745763,0.15625,97,1931,11.8,6.4,1935,22.54208254,10.20085671,23.57991299,8.325159732,0.939844604,61.73448455,57.36068268,0.464785207,1086,0.006392948,326,955,1281,-64,617,0.006644336,403,416,819,-1,1753,0.004325273,266,1543,1809,154,354,0.013443813,215,219,434,55
SK-I-GMS,0.002,106.1,5.5,0.015503876,0.185185185,387,479,64.5,5.4,491,99.64162357,40.00775308,9.228317365,69.11949426,2.645492755,337.5222357,58.46438781,0.514943791,1152,0.021766361,808,996,1804,-496,607,0.011100182,338,460,798,-44,546,0.002390533,535,139,674,279,815,0.012799712,1257,148,1405,77
MSC-30,0.793,9.2,1.1,0.769230769,1,4481,2455,1.3,1,2730,1152.373944,1669.976425,248.4361122,128.9948139,1.11625098,2562.737515,2166.84865,0.514337846,1197,0.543809246,325,1066,1391,-63,768,0.617888584,411,560,971,5,410,0.103875087,397,243,640,-63,207,0.18996128,143,143,286,-15
Shirasagi-P,1.463,6.2,2.7,2,1,6585,965,0.5,1,1167,2094.999089,1736.227781,374.251538,142.0794955,1.703266155,4474.15717,2484.730857,0.636294332,1079,1.062694513,292,954,1246,-42,312,0.162153594,332,255,587,-218,302,0.123359351,132,243,375,-14,862,0.458591518,437,573,1010,141
